City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Svay Rieng,KH,76.77,overcast clouds,11.0879,105.7993,Apsara guesthouse
13,Nanakuli,US,84.11,clear sky,21.3906,-158.1547,Camp Pālehua
14,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
24,Matara,LK,77.56,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
25,Butaritari,KI,81.1,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Itarema,BR,79.3,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
36,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
38,Albany,US,88.59,broken clouds,42.6001,-73.9662,
41,Pangai,TO,75.29,light rain,-19.8,-174.35,Ha'apai Beach Resort
42,Itoman,JP,86.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
44,Baikunthpur,IN,76.51,light rain,23.25,82.55,Hotel Shree Annapurna
45,Kattivakkam,IN,84.07,overcast clouds,13.2167,80.3167,Euronova Freezer
46,Phayakkhaphum Phisai,TH,80.42,overcast clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
47,North Bend,US,76.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
49,Ried,DE,75.16,light rain,48.477,11.2606,Tagungshaus Maria Beinberg
52,Neiafu,TO,77.29,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
56,Lompoc,US,87.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
57,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
59,Karia,NG,78.35,overcast clouds,11.7306,11.1629,Kasakchiya Luxury Suites
71,Smithers,CA,76.82,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
72,Atuona,PF,77.67,clear sky,-9.8,-139.0333,Villa Enata
79,Jamestown,US,84.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
81,Nantong,CN,84.97,overcast clouds,32.0303,120.8747,Overseas Chinese Hotel Nantong
82,Kavieng,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
89,Puerto Carreno,CO,81.39,light rain,6.189,-67.4859,Casa Hotel Victoria
91,Meulaboh,ID,76.82,light rain,4.1363,96.1285,Kost Pria
92,Hirara,JP,82.67,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
98,Salinopolis,BR,78.64,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
102,Linguere,SN,83.73,overcast clouds,15.3953,-15.1193,AYO Casablanca
104,Tautira,PF,75.65,light rain,-17.7333,-149.15,Pension Oaoa
105,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Vanimo,PG,78.33,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
108,Kirkuk,IQ,87.98,clear sky,35.4681,44.3922,Cihad Oteli
110,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
111,Salina Cruz,MX,84.96,overcast clouds,16.1667,-95.2,Amerik HOTEL
112,Naze,JP,77.56,scattered clouds,28.3667,129.4833,Shishime Hotel
113,Hithadhoo,MV,81.68,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
117,Asfi,MA,76.53,broken clouds,32.2994,-9.2372,Hôtel Abda
120,Belawan,ID,79.09,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
124,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
125,Tecoanapa,MX,85.44,overcast clouds,16.5167,-98.75,Hotel Manglares
126,Singarayakonda,IN,80.76,moderate rain,15.25,80.0333,Sri Nrk A/C Lodge
128,Kenora,CA,75.78,few clouds,49.8167,-94.4337,Maynard Lake Lodge
130,Jalu,LY,78.75,clear sky,29.0331,21.5482,صاحبة الفخامة
131,Victoria,HK,86.38,broken clouds,22.2855,114.1577,Mini Central
132,Cienfuegos,CU,89.73,light rain,22.1461,-80.4356,Casa Claumar B2BPay
136,Acarau,BR,79.75,broken clouds,-2.8856,-40.12,castelo pizzaria
140,Esna,EG,87.62,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
142,Yarmouth,US,88.18,clear sky,41.7057,-70.2286,Blue Rock Resort
143,Cieza,ES,81.61,clear sky,38.24,-1.4199,Hotel San Sebastián Hospedería
148,Dingle,PH,76.44,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
157,Nizwa,OM,86.25,overcast clouds,22.9333,57.5333,Orient Apartments
158,Diffa,NE,86.13,broken clouds,13.3154,12.6113,ProDAF/Diffa
159,Touros,BR,75.88,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
161,Sola,VU,80.78,broken clouds,-13.8833,167.55,Leumerus Bungalows
166,Eureka,US,79.66,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
167,Tiznit,MA,85.73,clear sky,29.5833,-9.5,
168,Vung Tau,VN,79.61,overcast clouds,10.346,107.0843,Seaside Resort
169,Along,IN,75.97,overcast clouds,28.1667,94.7667,Hotel West
170,Podor,MR,88.83,light rain,16.6527,-14.9587,Auberge Du Tékrour
172,Gravelbourg,CA,82.83,broken clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
174,Marzuq,YE,80.35,few clouds,14.4,46.4667,
180,Portland,US,79.29,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
181,Alofi,NU,76.37,overcast clouds,-19.0595,-169.9187,Taloa Heights
182,Nantucket,US,85.01,clear sky,41.2835,-70.0995,Jared Coffin House
191,Torbay,CA,77.29,few clouds,47.6666,-52.7314,Gallows Cove
192,Muli,MV,82.47,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
194,Bissau,GW,76.75,moderate rain,11.8636,-15.5977,Hotel Ancar
196,Kavaratti,IN,81.14,overcast clouds,10.5669,72.642,Green leaf
199,Faanui,PF,78.17,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
203,Tateyama,JP,78.39,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
204,Padang,ID,77.95,overcast clouds,-0.9492,100.3543,Mercure Padang
205,El Real De Santa Maria,PA,77.32,overcast clouds,8.109,-77.7325,
207,Rangoon,MM,78.76,broken clouds,16.8053,96.1561,Clover Hotel
209,Hobyo,SO,75.76,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
210,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
211,Ruwi,OM,85.69,overcast clouds,23.5996,58.5507,Al Falaj Hotel
212,Half Moon Bay,US,89.55,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
213,Broome,US,86.85,clear sky,42.2506,-75.833,Chenango Valley State Park
214,Katsuura,JP,79.09,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
216,Erzin,TR,75.85,clear sky,36.9559,36.2,Artemis Otel
217,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
220,San Carlos,VE,80.11,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
221,Dourbali,TD,78.15,moderate rain,11.8091,15.8632,
223,Trapani,IT,81.28,clear sky,37.8333,12.6667,
224,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
228,Deer Lake,CA,75.22,broken clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
231,Port Moresby,PG,76.28,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
233,Port Hawkesbury,CA,80.89,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
234,Keti Bandar,PK,83.23,overcast clouds,24.1447,67.4497,Haji laloo memon house
235,Bonthe,SL,77.2,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
238,Cururupu,BR,75.11,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
242,Isangel,VU,77.59,moderate rain,-19.55,169.2667,Tanna Lodge
245,Gizo,SB,82.63,light rain,-8.103,156.8419,Imagination Island
248,Nalut,LY,82.38,clear sky,30.3333,10.85,
250,Hasaki,JP,81.28,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
251,Porto Novo,BJ,75.65,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
253,Destin,US,87.76,clear sky,30.3935,-86.4958,Wingate by Wyndham Destin
254,Fort Nelson,CA,77.04,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
264,Myitkyina,MM,75.7,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
267,Lakatoro,VU,80.67,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
273,Coahuayana,MX,88.3,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
275,Aitape,PG,78.6,broken clouds,-3.1374,142.3475,
286,Hirado,JP,78.39,few clouds,33.3597,129.5531,Samson Hotel
290,Namie,JP,77.72,broken clouds,37.4833,141.0,いこいの村なみえ
294,Nusaybin,TR,85.17,clear sky,37.0778,41.2178,Aydinlar Hotel
298,Lazaro Cardenas,MX,86.5,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
300,Les Cayes,HT,84.09,few clouds,18.2,-73.75,Villa Orphee
302,Doka,SD,78.78,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
306,Luganville,VU,80.87,broken clouds,-15.5333,167.1667,The Espiritu Hotel
312,Mapiripan,CO,78.28,broken clouds,2.8892,-72.1256,Monserrate
313,Russell,US,83.48,moderate rain,32.3502,-85.1999,Macs
317,Benevento,IT,80.42,clear sky,41.2179,14.7464,Bed and breakfast “P’a Carrera”
319,Mackenzie,CA,79.72,few clouds,55.2999,-123.1698,Hilton Shop
322,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
323,Auki,SB,82.2,clear sky,-8.7676,160.7034,Auki Motel
325,Khatima,IN,80.15,overcast clouds,28.9167,79.9667,Hotel Holiday
327,Wewak,PG,78.8,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
332,Presidencia Roque Saenz Pena,AR,78.69,overcast clouds,-26.7852,-60.4388,Hotel Gualok
333,Carmen,MX,87.84,scattered clouds,18.6333,-91.8333,Hotel Lossandes
335,Namatanai,PG,81.57,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
338,Jacareacanga,BR,84.54,broken clouds,-6.2222,-57.7528,Casa do Ian😎
342,Poum,NC,77.4,overcast clouds,-20.2333,164.0167,
357,Xapuri,BR,85.39,few clouds,-10.6517,-68.5044,Pousada dos Chapurys
359,Awbari,LY,82.08,clear sky,26.5921,12.7805,فندق أوباري
360,Nong Khai,TH,77.29,light rain,17.9167,103.0833,จารุวรรณ วงชัยยา
362,Natchez,US,88.02,broken clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
365,Tukrah,LY,77.72,clear sky,32.5341,20.5791,Lagrota restaurant
369,Bamako,ML,77.13,light rain,12.65,-8.0,Hôtel l’Amitié Bamako
370,Arecibo,PR,85.28,scattered clouds,18.4724,-66.7157,Atlantic Sand Oasis
372,Sur,OM,86.76,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
374,Bobcaygeon,CA,81.88,broken clouds,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
376,Sinnamary,GF,78.76,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
380,Kashi,CN,80.01,clear sky,39.4547,75.9797,帕米尔青年旅舍
382,Uvira,CD,75.06,scattered clouds,-3.4067,29.1458,Hotel Suzana
386,Tuy Hoa,VN,75.24,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
387,Sabha,LY,82.04,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
391,Hambantota,LK,78.84,overcast clouds,6.1241,81.1185,Bungalow 63
393,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
400,Harper,LR,75.13,broken clouds,4.375,-7.7169,Screensaver
402,Male,MV,82.45,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
404,Corinto,GR,78.89,clear sky,37.9407,22.9573,Ephira Hotel
407,Guerrero Negro,MX,76.41,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
411,Ushibuka,JP,76.96,broken clouds,32.1906,130.0228,Hotei
412,Alappuzha,IN,78.01,overcast clouds,9.49,76.3264,Panoramic Sea Resort
414,Nabire,ID,75.43,broken clouds,-3.3667,135.4833,Hotel Nusantara I
415,Floriano,BR,89.02,overcast clouds,-6.7669,-43.0225,Hotel Maktub
416,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
420,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
429,Crotone,IT,81.19,clear sky,39.0851,17.1178,Helios Hotel
431,Silver City,US,84.16,scattered clouds,32.7701,-108.2803,Copper Manor Motel
432,Gushikawa,JP,85.59,broken clouds,26.3544,127.8686,Kirari Guest House
434,Ninh Binh,VN,78.26,moderate rain,20.2539,105.975,Kinh Do Hotel
436,Sao Felix Do Xingu,BR,79.02,clear sky,-6.6447,-51.995,Rio Xingu Camping
437,Jishou,CN,75.99,overcast clouds,28.3167,109.7167,7 Days Inn
440,Aswan,EG,88.74,broken clouds,24.0934,32.907,Nuba Nile
442,Albertville,US,89.06,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
443,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
459,Mach,PK,79.23,broken clouds,29.8637,67.3298,Naqeebullah Hotel Mach نقیب اللہ ہوٹل مچھ
460,Tevaitoa,PF,77.97,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
462,Taloqan,AF,84.87,clear sky,36.7361,69.5345,Saraisang street
