City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,53.8,86,100,12.5,light rain
1,Busselton,AU,-33.65,115.3333,59.58,80,67,20.83,light rain
2,Svay Rieng,KH,11.0879,105.7993,76.77,87,100,3.8,overcast clouds
3,Ribeira Grande,PT,38.5167,-28.7,73.8,94,40,6.91,scattered clouds
4,Hobart,AU,-42.8794,147.3294,50.25,88,75,5.75,broken clouds
5,Nemuro,JP,43.3236,145.575,58.03,98,100,14.34,moderate rain
6,Castro,BR,-24.7911,-50.0119,60.28,69,76,2.75,broken clouds
7,Barrow,US,71.2906,-156.7887,41.02,87,100,11.5,mist
8,Mbumi,TZ,-7.9058,39.2105,69.66,88,1,2.15,clear sky
9,Carnarvon,AU,-24.8667,113.6333,62.04,66,0,10.16,clear sky
10,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,0,10.36,clear sky
11,Sergeyevka,KZ,53.88,67.4158,56.35,91,4,7.34,clear sky
12,Constitucion,CL,-35.3333,-72.4167,54.5,92,27,8.59,scattered clouds
13,Nanakuli,US,21.3906,-158.1547,84.11,58,0,11.65,clear sky
14,Hilo,US,19.7297,-155.09,87.28,83,100,5.75,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,33.46,93,100,16.11,overcast clouds
16,Norman Wells,CA,65.282,-126.8329,78.84,31,75,8.05,broken clouds
17,Vaini,TO,-21.2,-175.2,73.85,77,36,16.37,light rain
18,Aldan,RU,58.6031,125.3894,69.42,74,100,4.83,overcast clouds
19,Karasburg,NA,-28.0167,18.75,62.76,30,87,6.98,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,12.66,clear sky
21,Labuhan,ID,-6.8844,112.2051,74.73,85,57,6.93,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,55.26,94,100,8.34,light rain
23,El Alto,PE,-4.2714,-81.2147,63.43,81,44,13.27,scattered clouds
24,Matara,LK,5.9485,80.5353,77.56,89,100,13.71,overcast clouds
25,Butaritari,KI,3.0707,172.7902,81.1,77,34,9.75,light rain
26,Itarema,BR,-2.9248,-39.9167,79.3,80,79,16.53,broken clouds
27,Tomohon,ID,1.3346,124.8392,66.2,90,30,2.08,scattered clouds
28,Khatanga,RU,71.9667,102.5,42.66,89,100,15.48,overcast clouds
29,Port Lincoln,AU,-34.7333,135.8667,50.85,77,50,5.66,scattered clouds
30,Mataura,NZ,-46.1927,168.8643,34.48,88,14,2.68,few clouds
31,Kodiak,US,57.79,-152.4072,50.77,80,68,6.38,broken clouds
32,Suslovo,RU,56.2167,88.1167,57.07,95,61,8.88,broken clouds
33,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,5.75,broken clouds
34,Cape Town,ZA,-33.9258,18.4232,56.26,93,100,2.3,moderate rain
35,Rikitea,PF,-23.1203,-134.9692,72.18,76,100,9.66,overcast clouds
36,Avarua,CK,-21.2078,-159.775,78.85,78,20,4.61,few clouds
37,Skibbereen,IE,51.55,-9.2667,61.11,95,100,9.71,overcast clouds
38,Albany,US,42.6001,-73.9662,88.59,54,52,7.49,broken clouds
39,Souillac,MU,-20.5167,57.5167,69.46,81,1,14.81,clear sky
40,Taoudenni,ML,22.6783,-3.9836,101.59,15,38,4.29,scattered clouds
41,Pangai,TO,-19.8,-174.35,75.29,78,75,15.93,light rain
42,Itoman,JP,26.1247,127.6694,86.02,86,75,12.66,broken clouds
43,Vao,NC,-22.6667,167.4833,74.48,88,86,23.82,moderate rain
44,Baikunthpur,IN,23.25,82.55,76.51,90,100,3.42,light rain
45,Kattivakkam,IN,13.2167,80.3167,84.07,89,100,8.99,overcast clouds
46,Phayakkhaphum Phisai,TH,15.5163,103.1937,80.42,88,100,5.08,overcast clouds
47,North Bend,US,43.4065,-124.2243,76.24,80,40,14.97,scattered clouds
48,Marawi,PH,7.9986,124.2928,68.95,93,97,2.53,overcast clouds
49,Ried,DE,48.477,11.2606,75.16,59,100,8.93,light rain
50,Kaitangata,NZ,-46.2817,169.8464,38.41,90,14,3.15,few clouds
51,Qaanaaq,GL,77.484,-69.3632,38.3,95,100,9.17,light rain
52,Neiafu,TO,-18.65,-173.9833,77.29,70,35,12.53,scattered clouds
53,Nikolskoye,RU,59.7035,30.7861,71.49,76,16,5.95,few clouds
54,Nanortalik,GL,60.1432,-45.2371,47.52,82,23,4.07,few clouds
