City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-07-16 23:21:13,-33.65,115.3333,56.21,73,96,8.59
1,Kahului,US,2022-07-16 23:21:13,20.8947,-156.47,86.02,70,40,27.63
2,Bluff,NZ,2022-07-16 23:21:14,-46.6,168.3333,48.79,75,100,17.22
3,College,US,2022-07-16 23:18:43,64.8569,-147.8028,66.07,71,75,3.44
4,Ilulissat,GL,2022-07-16 23:21:14,69.2167,-51.1,50.02,53,57,6.91
5,Ushuaia,AR,2022-07-16 23:18:26,-54.8,-68.3,40.66,60,20,5.75
6,Mataura,NZ,2022-07-16 23:21:15,-46.1927,168.8643,48.47,76,100,3.76
7,Barrow,US,2022-07-16 23:21:15,71.2906,-156.7887,44.62,76,100,10.36
8,Airai,TL,2022-07-16 23:21:16,-8.9266,125.4092,57.13,87,79,4.07
9,Albany,US,2022-07-16 23:16:19,42.6001,-73.9662,80.78,52,100,1.01
10,Tautira,PF,2022-07-16 23:21:16,-17.7333,-149.15,74.97,73,31,19.91
11,Dandong,CN,2022-07-16 23:21:17,40.1292,124.3947,72.59,88,56,2.26
12,Wareham,GB,2022-07-16 23:21:17,50.6889,-2.1104,64.9,81,81,6.98
13,Aklavik,CA,2022-07-16 23:21:17,68.2191,-135.0107,57.2,82,100,5.75
14,Upernavik,GL,2022-07-16 23:21:18,72.7868,-56.1549,43.09,91,100,12.06
15,Rikitea,PF,2022-07-16 23:17:46,-23.1203,-134.9692,72.59,78,99,14.09
16,Narrabri,AU,2022-07-16 23:21:18,-30.3167,149.7833,57.52,71,35,5.99
17,Chimbote,PE,2022-07-16 23:21:19,-9.0853,-78.5783,62.29,82,13,13.69
18,Butaritari,KI,2022-07-16 23:21:19,3.0707,172.7902,80.37,80,100,14.38
19,Berlevag,NO,2022-07-16 23:21:20,70.8578,29.0864,51.8,93,100,17.27
20,Arraial Do Cabo,BR,2022-07-16 23:21:20,-22.9661,-42.0278,78.66,61,0,12.66
21,Tasiilaq,GL,2022-07-16 23:21:20,65.6145,-37.6368,46.56,67,98,4.5
22,Aldine,US,2022-07-16 23:18:43,29.9324,-95.3802,97.2,53,40,11.5
23,Mackenzie,CA,2022-07-16 23:21:21,55.2999,-123.1698,68.22,42,75,5.75
24,Jamestown,US,2022-07-16 23:16:38,42.097,-79.2353,78.94,56,100,8.05
25,Amurzet,RU,2022-07-16 23:21:21,47.6967,131.0981,63.9,97,100,7.49
26,Nsoko,SZ,2022-07-16 23:21:21,-27.0333,31.95,54.66,93,1,2.15
27,Punta Arenas,CL,2022-07-16 23:20:07,-53.15,-70.9167,33.91,69,75,11.5
28,Port Hedland,AU,2022-07-16 23:21:22,-20.3167,118.5667,53.65,54,16,8.05
29,Orzhytsya,UA,2022-07-16 23:21:22,49.7918,32.7012,62.73,55,53,4.47
30,Amahai,ID,2022-07-16 23:21:23,-3.3333,128.9167,76.33,93,100,6.6
31,Qaanaaq,GL,2022-07-16 23:21:23,77.484,-69.3632,48.87,79,27,7.0
32,Narsaq,GL,2022-07-16 23:21:23,60.9167,-46.05,50.22,79,89,5.32
33,Vao,NC,2022-07-16 23:21:24,-22.6667,167.4833,69.51,59,17,24.63
34,Norman Wells,CA,2022-07-16 23:21:24,65.282,-126.8329,69.84,52,75,16.11
35,Ancud,CL,2022-07-16 23:18:35,-41.8697,-73.8203,46.22,90,100,26.4
36,Bambous Virieux,MU,2022-07-16 23:21:24,-20.3428,57.7575,70.05,73,40,13.8
37,Andra,RU,2022-07-16 23:21:25,62.5147,65.8878,53.65,74,99,3.89
38,Saskylakh,RU,2022-07-16 23:21:25,71.9167,114.0833,54.46,66,83,8.52
39,Lufilufi,WS,2022-07-16 23:21:26,-13.8745,-171.5986,87.58,67,43,20.89
40,Vaini,TO,2022-07-16 23:21:26,-21.2,-175.2,80.76,89,20,8.05
41,Tuktoyaktuk,CA,2022-07-16 23:21:27,69.4541,-133.0374,66.2,42,75,10.36
42,Atuona,PF,2022-07-16 23:20:16,-9.8,-139.0333,77.41,73,86,14.0
43,Mahajanga,MG,2022-07-16 23:21:27,-15.7167,46.3167,71.62,60,40,8.05
44,Sao Filipe,CV,2022-07-16 23:21:27,14.8961,-24.4956,75.54,84,13,7.81
45,Cidreira,BR,2022-07-16 23:20:35,-30.1811,-50.2056,67.6,90,62,15.66
46,Cabedelo,BR,2022-07-16 23:17:10,-6.9811,-34.8339,74.07,88,37,14.38
47,Tommot,RU,2022-07-16 23:22:28,58.9564,126.2925,76.96,65,33,1.79
48,Saldanha,ZA,2022-07-16 23:22:28,-33.0117,17.9442,50.05,50,13,9.66
49,Bela Vista,BR,2022-07-16 23:22:29,-22.1089,-56.5211,53.78,90,97,9.53
50,Debre Tabor,ET,2022-07-16 23:22:29,11.85,38.0167,49.19,98,100,3.69
51,Hithadhoo,MV,2022-07-16 23:21:18,-0.6,73.0833,83.05,77,49,13.42
52,Ouallam,NE,2022-07-16 23:22:30,14.3188,2.0866,81.9,51,90,4.12
53,Vardo,NO,2022-07-16 23:22:30,70.3705,31.1107,53.58,87,100,11.5
54,Yellowknife,CA,2022-07-16 23:22:31,62.456,-114.3525,64.92,82,75,3.44
55,Kapaa,US,2022-07-16 23:20:30,22.0752,-159.319,84.18,79,100,18.41
56,East London,ZA,2022-07-16 23:22:31,-33.0153,27.9116,64.98,37,0,7.31
57,Provideniya,RU,2022-07-16 23:18:05,64.3833,-173.3,55.78,50,61,6.17
58,Weymouth,US,2022-07-16 23:22:32,42.2209,-70.9398,80.89,57,100,11.5
59,Yumen,CN,2022-07-16 23:22:32,40.2833,97.2,70.52,35,70,11.54
60,Portland,US,2022-07-16 23:22:32,45.5234,-122.6762,78.53,61,75,10.36
61,Bardiyah,LY,2022-07-16 23:22:33,31.7561,25.0865,76.93,74,0,11.95
62,Jussara,BR,2022-07-16 23:22:33,-23.6214,-52.4694,78.76,72,97,19.35
63,Mombetsu,JP,2022-07-16 23:22:34,44.3525,143.3525,60.89,99,100,10.83
64,Cape Town,ZA,2022-07-16 23:21:35,-33.9258,18.4232,67.12,50,0,5.75
65,Surenavan,AM,2022-07-16 23:22:34,39.75,44.8,78.93,45,0,6.04
66,Fairbanks,US,2022-07-16 23:22:34,64.8378,-147.7164,66.09,71,40,3.44
67,Tailai,CN,2022-07-16 23:22:35,46.3833,123.4,69.31,84,45,11.16
68,Prado,BR,2022-07-16 23:22:35,-17.3411,-39.2208,71.04,85,2,4.97
69,Moron,AR,2022-07-16 23:22:36,-34.6534,-58.6198,49.96,71,100,9.4
70,Ponta Do Sol,PT,2022-07-16 23:22:36,32.6667,-17.1,70.0,81,29,3.67
71,Xuddur,SO,2022-07-16 23:22:37,4.1213,43.8894,69.55,80,32,21.85
72,Gilgit,PK,2022-07-16 23:22:37,35.9221,74.3087,77.32,59,25,2.3
73,Calabozo,VE,2022-07-16 23:22:38,8.9242,-67.4293,79.38,80,60,5.12
74,Leningradskiy,RU,2022-07-16 23:22:38,69.3833,178.4167,39.51,85,99,2.26
75,Port Elizabeth,ZA,2022-07-16 23:22:38,-33.918,25.5701,52.09,76,0,4.61
76,Talnakh,RU,2022-07-16 23:22:39,69.4865,88.3972,60.21,53,100,3.69
77,Bouillon,BE,2022-07-16 23:22:39,49.7932,5.067,61.86,60,10,5.84
78,Bredasdorp,ZA,2022-07-16 23:22:40,-34.5322,20.0403,60.35,36,81,6.33
79,Awbari,LY,2022-07-16 23:22:40,26.5921,12.7805,82.15,18,0,9.6
80,Tiksi,RU,2022-07-16 23:22:40,71.6872,128.8694,38.12,94,87,6.15
81,Fort Nelson,CA,2022-07-16 23:22:41,58.8053,-122.7002,71.19,60,75,2.3
82,Mazamari,PE,2022-07-16 23:22:41,-11.3258,-74.5308,71.4,95,36,0.85
83,Fuyang,CN,2022-07-16 23:22:42,32.9,115.8167,80.24,85,100,7.09
84,Kodiak,US,2022-07-16 23:18:09,57.79,-152.4072,62.11,77,100,9.22
85,Carnarvon,AU,2022-07-16 23:22:42,-24.8667,113.6333,66.13,55,94,7.76
86,Bartica,GY,2022-07-16 23:18:15,6.4,-58.6167,80.92,98,64,2.75
87,Hermanus,ZA,2022-07-16 23:22:43,-34.4187,19.2345,62.8,50,62,7.61
88,Ilhabela,BR,2022-07-16 23:22:43,-23.7781,-45.3581,74.44,60,100,4.81
89,Beringovskiy,RU,2022-07-16 23:22:43,63.05,179.3167,58.84,68,44,2.28
90,Port Moresby,PG,2022-07-16 23:22:44,-9.4431,147.1797,80.02,65,20,6.91
91,Nipawin,CA,2022-07-16 23:23:44,53.3668,-104.0009,87.84,58,0,10.36
92,Mahanoro,MG,2022-07-16 23:23:44,-19.9,48.8,68.36,82,72,8.14
93,Hualmay,PE,2022-07-16 23:23:45,-11.0964,-77.6139,61.88,81,41,11.68
94,New Norfolk,AU,2022-07-16 23:23:45,-42.7826,147.0587,53.1,80,100,4.0
95,Garissa,KE,2022-07-16 23:23:46,-0.4536,39.6401,72.61,78,36,19.1
96,Torbay,CA,2022-07-16 23:23:46,47.6666,-52.7314,67.28,68,40,14.97
97,Faanui,PF,2022-07-16 23:23:46,-16.4833,-151.75,77.27,63,71,23.69
98,Severo-Yeniseyskiy,RU,2022-07-16 23:23:47,60.3725,93.0408,48.36,88,99,2.46
99,Bethel,US,2022-07-16 23:19:11,41.3712,-73.414,77.65,78,0,0.0
100,Ucluelet,CA,2022-07-16 23:23:11,48.9329,-125.5528,64.09,82,100,1.01
101,Lebu,CL,2022-07-16 23:23:47,-37.6167,-73.65,48.06,74,100,16.98
102,Ambovombe,MG,2022-07-16 23:23:48,-25.1667,46.0833,66.38,84,3,15.32
103,Meulaboh,ID,2022-07-16 23:23:48,4.1363,96.1285,75.94,90,98,3.98
104,Evensk,RU,2022-07-16 23:23:48,61.95,159.2333,52.7,93,100,3.38
105,Rio Gallegos,AR,2022-07-16 23:23:49,-51.6226,-69.2181,33.85,93,75,5.75
106,Batticaloa,LK,2022-07-16 23:23:49,7.7102,81.6924,80.13,73,100,6.87
107,Port Lincoln,AU,2022-07-16 23:23:49,-34.7333,135.8667,56.44,69,39,19.71
108,Port Alfred,ZA,2022-07-16 23:23:50,-33.5906,26.891,66.65,40,2,9.53
109,Hamilton,US,2022-07-16 23:23:08,39.1834,-84.5333,90.61,54,75,11.5
110,Nikolskoye,RU,2022-07-16 23:21:57,59.7035,30.7861,53.8,90,39,5.44
111,Trairi,BR,2022-07-16 23:21:24,-3.2778,-39.2689,79.09,78,26,12.01
112,Suez,EG,2022-07-16 23:23:51,29.9737,32.5263,73.63,53,0,9.6
113,Cache Creek,CA,2022-07-16 23:23:51,50.8101,-121.3246,81.91,31,53,5.3
114,Tukrah,LY,2022-07-16 23:23:51,32.5341,20.5791,76.42,77,0,7.74
115,Chuy,UY,2022-07-16 23:23:52,-33.6971,-53.4616,48.4,92,99,15.3
116,Itoman,JP,2022-07-16 23:23:52,26.1247,127.6694,84.97,94,100,9.22
117,Dikson,RU,2022-07-16 23:23:52,73.5069,80.5464,47.59,69,33,7.63
118,Brae,GB,2022-07-16 23:23:53,60.3964,-1.353,54.57,93,100,19.8
119,Kavaratti,IN,2022-07-16 23:21:05,10.5669,72.642,81.55,79,100,17.74
120,Omboue,GA,2022-07-16 23:23:53,-1.5746,9.2618,70.88,90,99,5.79
121,Merrill,US,2022-07-16 23:23:54,45.1805,-89.6835,80.62,65,0,4.61
122,Lensk,RU,2022-07-16 23:23:54,60.7253,114.9278,56.89,90,100,4.05
123,Kavieng,PG,2022-07-16 23:20:38,-2.5744,150.7967,82.4,76,8,11.99
124,Bom Jardim,BR,2022-07-16 23:23:54,-7.7958,-35.5872,67.73,97,50,5.73
125,Asau,RO,2022-07-16 23:23:55,46.4333,26.4,60.28,54,3,6.02
126,Tibati,CM,2022-07-16 23:23:55,6.4667,12.6333,66.83,97,100,2.71
127,Hilo,US,2022-07-16 23:23:55,19.7297,-155.09,83.28,94,100,11.5
128,Omsukchan,RU,2022-07-16 23:23:56,62.5333,155.8,64.49,83,100,1.05
129,Bad Wildungen,DE,2022-07-16 23:23:56,51.1196,9.1248,54.63,79,12,3.4
130,Ossora,RU,2022-07-16 23:23:57,59.2353,163.0719,66.45,72,89,7.83
131,Lavrentiya,RU,2022-07-16 23:23:57,65.5833,-171.0,51.89,62,73,8.19
132,Pisco,PE,2022-07-16 23:23:57,-13.7,-76.2167,63.01,72,9,9.22
133,Zhigansk,RU,2022-07-16 23:23:58,66.7697,123.3711,46.89,94,100,14.36
134,Faya,SA,2022-07-16 23:23:58,18.3851,42.4509,64.92,40,45,5.88
135,Richards Bay,ZA,2022-07-16 23:23:59,-28.783,32.0377,60.6,87,4,6.38
136,Kruisfontein,ZA,2022-07-16 23:23:02,-34.0033,24.7314,64.02,26,36,10.0
137,Pevek,RU,2022-07-16 23:24:59,69.7008,170.3133,36.25,95,100,6.46
138,Chapais,CA,2022-07-16 23:25:00,49.7834,-74.8492,69.58,51,81,9.06
139,Puerto Ayora,EC,2022-07-16 23:25:00,-0.7393,-90.3518,69.55,92,40,5.99
140,Pueblo Nuevo,MX,2022-07-16 23:25:00,23.3833,-105.3833,64.11,88,100,4.0
141,Dunedin,NZ,2022-07-16 23:23:18,-45.8742,170.5036,48.79,47,75,5.99
142,Takoradi,GH,2022-07-16 23:25:01,4.8845,-1.7554,75.18,85,100,10.54
143,Hambantota,LK,2022-07-16 23:25:01,6.1241,81.1185,78.87,84,96,16.04
144,Bengkulu,ID,2022-07-16 23:25:01,-3.8004,102.2655,74.89,86,98,3.22
145,Hobart,AU,2022-07-16 23:25:02,-42.8794,147.3294,53.46,70,40,11.5
146,Iskilip,TR,2022-07-16 23:25:02,40.7353,34.4739,62.67,83,0,6.2
147,Half Moon Bay,US,2022-07-16 23:25:03,37.4636,-122.4286,98.89,74,20,20.71
148,North Platte,US,2022-07-16 23:20:20,41.1239,-100.7654,99.12,37,20,13.0
149,Hasaki,JP,2022-07-16 23:25:03,35.7333,140.8333,77.4,89,100,15.41
150,Champerico,GT,2022-07-16 23:25:04,14.3,-91.9167,84.74,76,100,8.95
151,Grindavik,IS,2022-07-16 23:21:49,63.8424,-22.4338,51.75,87,100,1.14
152,Katherine,AU,2022-07-16 23:25:04,-14.4667,132.2667,59.32,82,49,5.75
153,Kyzyl-Suu,KG,2022-07-16 23:25:05,42.3414,78.0056,59.85,36,0,6.67
154,Bubaque,GW,2022-07-16 23:25:05,11.2833,-15.8333,80.98,84,32,14.0
155,Batagay-Alyta,RU,2022-07-16 23:25:05,67.8006,130.4114,46.45,91,100,4.74
156,Pangai,TO,2022-07-16 23:25:06,-19.8,-174.35,78.08,69,92,14.56
157,Jaque,PA,2022-07-16 23:25:06,7.5175,-78.1703,80.4,82,100,0.69
158,Lincoln,US,2022-07-16 23:22:07,40.8,-96.667,83.89,77,40,10.36
159,Saint-Andre,RE,2022-07-16 23:25:07,-20.95,55.65,67.44,68,75,18.41
